"Levande födda efter region, moderns ålder, kön och år"

"region","moderns ålder","kön","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"00 Riket","34 år","kvinnor",1239,1112,1166,1178,1132,1174,1079,1234,1301,1323,1455,1588,1742,1715,1804,1717,1753,1830,2009,2074,2037,2199,2384,2520,2489,2404,2358,2206,2125,2157,2366,2501,2626,2622,2735,2826,3051,3110,3469,3470,3499,3444,3543,3422,3302,3452,3561,3295,3283,3288,3432
"00 Riket","35 år","män",1079,1021,934,1016,949,976,1002,923,973,1049,1112,1418,1432,1551,1525,1587,1611,1680,1693,1784,1931,1932,2101,2234,2241,2097,2065,2062,1864,1902,2107,2247,2350,2528,2480,2743,2638,2918,3241,3239,3330,3423,3369,3117,3188,3104,3187,3406,3195,3031,3217
"00 Riket","35 år","kvinnor",1021,936,966,938,879,904,876,824,920,1004,1108,1260,1296,1456,1402,1477,1506,1497,1641,1602,1788,1846,2040,2024,2118,2077,2024,1896,1781,1759,1930,2119,2218,2347,2541,2507,2523,2641,2924,2982,3009,3255,3148,2961,2993,2914,2942,3045,3164,2875,2956
"00 Riket","36 år","män",975,827,848,744,758,764,736,771,702,778,873,1063,1148,1111,1243,1255,1341,1472,1306,1362,1447,1630,1654,1728,1831,1820,1698,1683,1501,1459,1583,1783,1953,2038,2193,2308,2251,2392,2582,2719,2746,2787,2967,2778,2715,2647,2623,2658,2882,2827,2659
"00 Riket","36 år","kvinnor",895,734,747,776,681,715,747,634,644,675,849,972,1076,1114,1153,1189,1277,1344,1391,1338,1463,1528,1617,1681,1711,1744,1715,1469,1500,1402,1634,1607,1800,1974,2021,2076,2254,2194,2323,2575,2616,2732,2907,2712,2582,2480,2570,2629,2703,2615,2602
"00 Riket","37 år","män",853,758,675,632,541,538,546,501,608,572,644,715,804,894,935,941,1062,1067,1159,1151,1196,1194,1335,1355,1384,1330,1424,1291,1309,1294,1283,1390,1438,1687,1709,1878,1972,1972,2038,2187,2244,2347,2356,2383,2270,2311,2201,2180,2284,2402,2281
"00 Riket","37 år","kvinnor",792,696,622,616,592,535,523,534,510,520,564,720,843,861,864,947,967,1043,1095,1067,1069,1246,1294,1292,1308,1291,1392,1225,1177,1122,1206,1252,1316,1609,1659,1756,1801,1861,1861,2019,2087,2176,2286,2361,2192,2157,2055,2030,2238,2219,2055
"00 Riket","38 år","män",670,593,552,474,502,455,435,390,441,419,410,492,593,606,718,685,799,825,892,846,980,963,997,1055,1132,1069,1041,1055,927,936,993,1009,1085,1116,1331,1521,1602,1505,1592,1574,1677,1906,1941,1870,1876,1867,1798,1809,1838,1839,1930
"00 Riket","38 år","kvinnor",618,534,519,448,441,401,441,369,365,398,402,488,542,604,616,699,723,832,812,785,907,885,958,982,1052,1077,1036,1013,932,914,931,929,1037,1085,1253,1414,1431,1473,1569,1563,1658,1758,1817,1852,1792,1766,1738,1709,1704,1724,1902
"00 Riket","39 år","män",510,432,444,422,372,316,342,292,279,321,310,338,388,443,522,529,598,657,669,701,731,778,730,793,815,801,744,756,745,678,747,772,835,837,903,1116,1157,1216,1303,1295,1305,1360,1516,1466,1510,1532,1518,1417,1431,1405,1491
"00 Riket","39 år","kvinnor",488,458,423,375,294,301,277,277,279,275,279,337,369,414,463,469,560,581,611,637,666,701,735,793,794,727,810,732,685,685,715,685,751,841,960,1098,1128,1173,1175,1232,1212,1307,1439,1354,1409,1436,1331,1369,1355,1315,1384
"00 Riket","40 år","män",407,393,312,286,276,220,227,202,220,211,236,271,249,266,284,369,433,466,451,481,522,539,566,568,524,541,567,507,554,512,553,553,550,596,682,718,874,838,995,967,1016,965,1059,1118,1126,1104,1183,1051,1121,1101,1070
"00 Riket","40 år","kvinnor",400,334,292,301,261,230,241,203,199,189,197,249,239,248,304,355,371,397,424,459,503,482,526,503,527,576,517,525,515,481,499,557,542,571,596,721,826,867,915,932,920,891,1031,1063,1003,1078,1061,953,1083,1046,1028
"00 Riket","41 år","män",298,280,237,223,192,171,180,149,124,150,146,163,189,174,176,215,263,306,294,314,366,337,408,409,402,397,378,324,350,388,357,353,379,401,440,505,599,566,596,718,687,753,712,756,734,769,831,817,786,764,745
"00 Riket","41 år","kvinnor",247,264,250,219,194,149,147,100,121,125,138,164,182,160,204,204,234,279,283,306,316,399,349,360,375,394,358,357,345,319,348,333,366,419,415,449,472,560,571,616,664,675,675,688,770,708,773,724,749,768,723
"00 Riket","42 år","män",184,182,171,149,143,104,112,89,78,83,78,109,102,132,116,131,172,185,192,179,224,259,257,240,254,232,227,239,202,221,200,237,234,271,271,291,333,358,412,445,482,451,517,474,440,487,497,536,546,512,483
